type,fenzu,fz,bianma
K,无源SMD,3225,1
N,无源SMD,2520,1
KC,无源SMD,2016,1
KD,无源SMD,1612,1
J,无源SMD,4025,1
I,无源SMD,5032,1
D,无源SMD,7050,1
IB,无源SMD,5032*2pads,1
DB,无源SMD,7050*2pads,1
C,无源SMD,6035,1
CB,无源SMD,6035*2pads,1
U,无源DIP,10.2*3.7*10,1
UB,无源DIP,10.2*3.7*10,1
S,无源DIP,10.2*3.7*4,1
SB,无源DIP,10.2*3.7*4,1
M,无源DIP,10.2*3.7*base,1
MB,无源DIP,10.2*3.7*base,1
MD,无源DIP,10.2*3.7*base,1
W,无源表晶,3.0*8.0,2
WB,无源表晶,2.0*6.0,2
WF,无源表晶,3.0*9.0,2
WD,无源表晶,3.0*10.0,2
H,无源表晶,8.0*3.8*2.5,2
HB,无源表晶,12.5*4.7*3.6,2
HC,无源表晶,3.2*1.5*0.9,2
HE,无源表晶,7*1.4,2
ON,有源晶振SMD,2520,3
L,有源晶振SMD,3225,3
R,有源晶振SMD,5032,3
OF,有源晶振SMD,7050,3
Q,有源晶振DIP,14pin,3
QB,有源晶振DIP,8pin,3
LH,差分晶振SMD,3225*6pads,3
RH,差分晶振SMD,5032*6pads,3
OH,差分晶振SMD,7050*6pads,3
VH,压控差分SMD,7050*6pads,没有占空比
V,压控晶振SMD,7050*6pads,没有占空比
TB,温补晶振SMD,5032,暂不处理
TC,温补晶振SMD,3225,暂不处理
TD,温补晶振SMD,2520,暂不处理
TXW10,温补晶振SMD,5032,暂不处理
VTB,温补晶振SMD,5032,暂不处理
VTC,温补晶振SMD,3225,暂不处理
VTD,温补晶振SMD,2520,暂不处理
