创建时间,课程名称,学习人数,学习时间
2013/5/13 10:55,Linux 基础入门（新版）,391962,23875374
2013/5/13 10:58,Vim编辑器,118629,2590047
2013/5/13 10:58,Python编程语言,51879,1189731
2013/5/13 10:59,Git 实战教程,93153,2109564
2013/5/13 11:06,MySQL 基础课程,78792,4229313
2013/7/22 14:15,Go语言编程,22596,322269
2013/7/23 17:44,MongoDB 基础教程,25002,497781
2013/7/24 14:19,Ruby基础教程,7416,136959
2013/8/30 14:34,Perl基础教程,2370,63243
2013/8/30 14:37,Java编程语言（新版）,79074,1583538
2013/9/14 15:23,HTML基础入门,63981,1032588
2013/9/14 15:24,数据结构(新版),39177,364323
2013/9/14 15:24,Javascript基础（新版）,36387,382851
2013/9/14 15:25,jQuery入门教程,4482,38667
2013/9/14 15:28,PHP 编程语言,31920,408936
2013/9/16 10:33,Linux系统编程,15648,312411
2013/10/9 16:23,Python Flask Web框架,22245,384315
2013/10/9 16:59,Struts框架教程,16869,296940
2013/10/9 17:00,Hibernate框架教程,14493,201855
2013/10/9 17:00,Hadoop部署及管理,19050,515934
2013/10/9 17:01,HBASE教程,6426,76353
2013/10/9 17:01,HIVE教程,8163,96183
2013/10/9 17:02,Mahout教程,3594,28536
2013/10/9 17:02,基于 Hadoop 对武侠小说进行词频分析,2817,51273
2013/10/20 13:09,GO语言开发2048,1650,8331
2013/10/27 13:24,HTML5基础入门,43068,317172
2013/10/27 13:56,Node.js 教程,22755,420087
2013/10/30 13:23,《C++语言程序设计（第4版）》配套实验,12750,158184
2013/10/31 15:18,终端贪吃蛇,3828,37095
2013/11/3 14:34,Linux桌面词典,2190,17529
2013/11/4 15:38,基于 JavaScript 实现打地鼠游戏,1824,10383
2013/11/5 18:13,pygame开发打飞机游戏,24375,75939
2013/11/6 13:02,Bootstrap3.0入门学习,18540,181170
2013/11/6 13:47,jQuery基础入门,13911,98808
2013/11/7 9:50,shell打字游戏,2079,14226
2013/11/7 19:10,CSS速成教程,25389,467016
2013/11/10 16:04,结合七牛搭建个人相册,12117,33519
